recipe_id,model,category,meal_type,title,ingredients_json,instructions,servings,claimed_energy_kcal,claimed_protein_g,claimed_fat_g,claimed_carbs_g,claimed_saturated_fat_g,claimed_sugar_g,claimed_fiber_g,claimed_salt_g,claimed_calcium_mg,claimed_iron_mg,claimed_magnesium_mg,claimed_phosphorus_mg,claimed_potassium_mg,claimed_zinc_mg,claimed_iodine_ug,claimed_selenium_ug,claimed_vitamin_a_rae_ug,claimed_vitamin_d_ug,claimed_vitamin_e_mg,claimed_vitamin_c_mg,claimed_folate_ug,claimed_vitamin_b12_ug,claimed_vitamin_b1_mg,claimed_vitamin_b2_mg,claimed_vitamin_b3_mg,claimed_vitamin_b6_mg,claimed_fsa_score,claimed_fsa_category,claimed_who_score
grok4_fast_breakfast_11,grok4_fast,breakfast,Biscuits,Healthy Oat and Almond Whole Wheat Biscuits,"[""200 g Whole wheat flour"", ""100 g Rolled oats"", ""50 g Almonds, ground"", ""1 tsp Baking powder"", ""0.5 tsp Salt"", ""1 tsp Cinnamon, ground"", ""50 g Butter, unsalted"", ""50 g Honey"", ""150 ml Milk, semi-skimmed"", ""1 piece Egg, raw"", ""50 g Raisins""]","Preheat your oven to 200°C and line a baking sheet with parchment paper. In a large bowl, whisk together the whole wheat flour, rolled oats, ground almonds, baking powder, salt, and cinnamon. In a separate bowl, beat the butter with the honey until creamy, then add the egg and milk, mixing well. Gradually stir the wet ingredients into the dry mixture until a soft dough forms; fold in the raisins. Turn the dough out onto a lightly floured surface and gently knead for 1 minute, then pat it into a 2 cm thick round. Cut out biscuits using a 6 cm round cutter, re-patting scraps as needed to make 8 biscuits. Place them on the prepared baking sheet and bake for 12-15 minutes until golden and firm to the touch. Transfer to a wire rack to cool completely.",8,2850,75,110,380,35,85,40,3.5,750,15,450,1200,2100,8,50,60,500,2.5,12,2,250,1.5,1.8,1.2,12,1.2,6,healthy,5
grok4_fast_breakfast_12,grok4_fast,breakfast,Biscuits,Healthy Oat and Almond Whole Wheat Biscuits,"[""150 g Whole wheat flour"", ""100 g Rolled oats"", ""50 g Almonds, ground"", ""1 tsp Baking powder"", ""0.5 tsp Salt"", ""1 tsp Cinnamon, ground"", ""50 g Olive oil"", ""100 ml Almond milk, unsweetened"", ""50 g Apple, grated"", ""2 tbsp Honey"", ""1 tsp Vanilla extract""]","Preheat your oven to 180°C and line a baking sheet with parchment paper. In a large bowl, combine the whole wheat flour, rolled oats, ground almonds, baking powder, salt, and cinnamon. In a separate bowl, mix together the olive oil, almond milk, grated apple, honey, and vanilla extract until well blended. Pour the wet ingredients into the dry ingredients and stir until a soft dough forms; do not overmix. Scoop tablespoon-sized portions of dough onto the prepared baking sheet, spacing them about 5 cm apart, and gently flatten each with the back of a spoon to about 1 cm thick. Bake in the preheated oven for 12-15 minutes, or until the edges are golden and the biscuits are firm to the touch. Remove from the oven and allow them to cool on the baking sheet for 5 minutes before transferring to a wire rack to cool completely.",12,1850,45,90,210,10,35,25,2.5,450,12,350,800,1200,6,10,40,20,0,12,3,100,0,0.8,0.4,6,0.6,6,healthy,5
grok4_fast_breakfast_13,grok4_fast,breakfast,Biscuits,Whole Wheat Oat Biscuits with Seeds and Honey,"[""150 g Whole wheat flour"", ""50 g Rolled oats"", ""1 tsp Baking powder"", ""0.5 tsp Salt"", ""50 g Sunflower seeds"", ""30 g Flaxseeds"", ""50 g Butter, unsalted"", ""100 ml Milk, semi-skimmed"", ""1 piece Egg, raw"", ""2 tbsp Honey""]","Preheat your oven to 200°C and line a baking sheet with parchment paper. In a large bowl, whisk together the whole wheat flour, rolled oats, baking powder, salt, sunflower seeds, and flaxseeds. Cut in the cold butter using a pastry cutter or your fingers until the mixture resembles coarse crumbs. In a separate bowl, beat the egg with the milk and honey until well combined. Pour the wet ingredients into the dry ingredients and stir gently with a fork until just combined into a soft dough, being careful not to overmix. Turn the dough out onto a lightly floured surface, pat it into a 2 cm thick round, and cut out biscuits using a 6 cm round cutter. Place the biscuits on the prepared baking sheet, spacing them 5 cm apart. Bake for 12-15 minutes or until the tops are golden brown and a toothpick inserted in the center comes out clean. Transfer to a wire rack to cool slightly before serving warm.",10,2350,60,120,250,45,35,30,4.5,600,12,400,1200,1500,8,80,70,500,2.5,10,2,200,1.5,1.2,0.8,8,0.8,7,moderate,4.5
grok4_fast_breakfast_14,grok4_fast,breakfast,Biscuits,Whole Wheat Oat Biscuits with Seeds and Honey,"[""120 g Flour, wheat, wholemeal"", ""80 g Oats, rolled"", ""1 tsp Baking powder"", ""0.5 tsp Salt"", ""50 g Butter, unsalted"", ""50 g Honey"", ""1 piece Egg, raw, medium"", ""50 ml Milk, semi-skimmed"", ""30 g Sunflower seeds"", ""20 g Flaxseeds, whole""]","Preheat your oven to 200°C and line a baking sheet with parchment paper. In a large bowl, mix together the wholemeal flour, rolled oats, baking powder, and salt. Add the cold unsalted butter cut into small cubes, and rub it into the dry ingredients with your fingertips until the mixture resembles coarse breadcrumbs. Stir in the sunflower seeds and flaxseeds. In a separate bowl, beat the egg with the honey and milk until well combined, then pour this into the dry mixture. Stir gently with a wooden spoon until a soft dough forms; do not overmix. Turn the dough onto a lightly floured surface and pat it out to about 1.5 cm thick. Use a 6 cm round cutter to cut out biscuits, re-patting scraps as needed. Place the biscuits on the prepared baking sheet, leaving a little space between them. Bake for 12-15 minutes until golden brown on top and firm to the touch. Transfer to a wire rack to cool slightly before serving warm.",10,2850,70,140,320,50,60,35,4,600,15,400,1200,1800,8,120,60,500,4,15,5,300,2,1.2,1.1,12,1.2,6,healthy,5
grok4_fast_breakfast_15,grok4_fast,breakfast,Biscuits,Whole Wheat Oat Biscuits with Seeds and Honey,"[""150 g Whole wheat flour"", ""100 g Rolled oats"", ""50 g Almonds, ground"", ""30 g Sunflower seeds"", ""30 g Flaxseeds"", ""1 tsp Baking powder"", ""0.5 tsp Salt"", ""50 g Butter, unsalted"", ""50 g Honey"", ""100 ml Milk, semi-skimmed"", ""1 piece Egg, raw""]","Preheat your oven to 200°C and line a baking sheet with parchment paper. In a large bowl, mix together the whole wheat flour, rolled oats, ground almonds, sunflower seeds, flaxseeds, baking powder, and salt. In a small saucepan over low heat, melt the butter with the honey until fully combined, then remove from heat. Beat the egg and milk together in a separate bowl, then stir in the melted butter-honey mixture. Pour the wet ingredients into the dry ingredients and stir until a soft dough forms; do not overmix. Turn the dough onto a lightly floured surface and gently knead for 30 seconds to bring it together. Roll out the dough to about 1 cm thickness and cut into 8-10 rounds using a 6 cm biscuit cutter. Place the biscuits on the prepared baking sheet, leaving space between them. Bake for 12-15 minutes until golden brown on top and firm to the touch. Transfer to a wire rack to cool completely before serving.",10,2850,82,142,312,42,68,42,3.5,650,18,520,1400,2200,10,120,65,450,2.5,12,2,280,1.5,1.2,1.1,12,1.2,6,healthy,5
grok4_fast_breakfast_16,grok4_fast,breakfast,Blintzes,Healthy Spinach and Cottage Cheese Blintzes,"[""120 g Wheat flour, white"", ""3 piece Egg, raw"", ""3 dl Milk, low fat"", ""20 g Butter, unsalted"", ""200 g Cottage cheese, low fat"", ""100 g Spinach, fresh"", ""1 piece Garlic clove"", ""20 g Dill, fresh"", ""50 g Blueberries, raw"", ""20 g Honey"", ""5 g Salt""]","In a large bowl, whisk together the flour, 2 eggs, milk, and 2 g salt until smooth to make the blintz batter. Let it rest for 15 minutes. Heat a non-stick frying pan over medium heat and melt a teaspoon of butter. Pour in 80 ml of batter, swirl to coat the pan thinly, and cook for 1-2 minutes until the edges lift and the bottom is golden. Flip and cook for 30 seconds more. Repeat with remaining batter, stacking the blintzes. For the filling, finely chop the spinach and dill, mince the garlic, and mix with cottage cheese, 1 egg, and 3 g salt. Spoon 2 tablespoons of filling onto each blintz, roll tightly, and place seam-side down in a greased baking dish. Bake in a preheated oven at 180°C for 15 minutes until heated through. Serve warm topped with blueberries and a drizzle of honey.",4,1420,85,38,174,18,38,8,5.2,850,10,180,950,1650,6.5,60,85,650,3.5,2.5,25,320,4.2,1.1,1.8,12,0.8,6,healthy,5
grok4_fast_breakfast_17,grok4_fast,breakfast,Blintzes,Healthy Buckwheat Blintzes with Spinach and Cottage Cheese Filling,"[""100 g Buckwheat flour"", ""200 ml Milk, semi-skimmed"", ""1 piece Egg, raw"", ""50 ml Water"", ""1 pinch Salt"", ""200 g Spinach, fresh"", ""150 g Cottage cheese, low-fat"", ""1 piece Egg, raw"", ""50 g Onion"", ""10 ml Olive oil"", ""1 pinch Black pepper"", ""100 g Blueberries, raw"", ""100 g Greek yogurt, low-fat""]","In a medium bowl, whisk together the buckwheat flour, semi-skimmed milk, 1 egg, water, and a pinch of salt until you have a smooth, thin batter with no lumps. Let it rest for 15 minutes at room temperature. Meanwhile, finely chop the onion and wilt the spinach in a hot non-stick pan over medium heat for 2-3 minutes until soft, then drain excess liquid and let cool. Mix the wilted spinach, cottage cheese, 1 egg, chopped onion, and black pepper in a bowl to form the filling. Heat a non-stick frying pan over medium heat, lightly brush with olive oil, and pour in about 50 ml of batter, swirling to make a thin 20 cm crepe. Cook for 1-2 minutes until the edges lift and the bottom is golden, then flip and cook for 30 seconds more. Spoon 2 tablespoons of filling onto each blintz, fold the sides in and roll up tightly. Place seam-side down in a lightly oiled baking dish and bake in a preheated oven at 180°C for 10 minutes to set. Serve 2 blintzes per portion topped with 25 g Greek yogurt and 25 g blueberries.",4,980,64,28,108,9,28,12,2.2,780,8.5,210,850,1850,6.2,48,65,720,2.8,4.2,32,280,2.5,0.6,1.2,6.8,0.7,5,healthy,5
grok4_fast_breakfast_18,grok4_fast,breakfast,Blintzes,Healthy Buckwheat Blintzes with Spinach and Cottage Cheese Filling,"[""100 g Buckwheat flour"", ""200 ml Milk, semi-skimmed"", ""1 piece Egg, raw"", ""50 g Cottage cheese, low-fat"", ""100 g Spinach, fresh"", ""1 piece Garlic clove, raw"", ""5 g Dill, fresh, chopped"", ""5 g Butter, unsalted"", ""50 g Blueberries, raw"", ""100 g Yogurt, plain, low-fat""]","In a medium bowl, whisk together the buckwheat flour, semi-skimmed milk, and egg until a smooth, thin batter forms with no lumps. Let the batter rest for 15 minutes at room temperature. Meanwhile, prepare the filling: blanch the fresh spinach in boiling water for 1 minute, drain, and chop finely. Mix the chopped spinach with low-fat cottage cheese, minced garlic clove, and chopped fresh dill in a bowl; season lightly with a pinch of salt and set aside. Heat a non-stick frying pan over medium heat and lightly grease with a tiny dab of butter. Pour about 50 ml of batter into the pan, tilting it to spread thinly, and cook for 1-2 minutes until the edges lift and the bottom is golden. Flip carefully with a spatula and cook the other side for 30 seconds. Spread 1-2 tablespoons of filling on each blintz, roll up tightly, and keep warm. Repeat with remaining batter to make 4-6 blintzes. Serve warm topped with a dollop of plain low-fat yogurt and fresh blueberries.",2,780,44,20,95,8,22,11,1.5,650,6.5,210,680,1450,5.2,45,38,650,2.5,3.2,28,210,2.1,0.45,0.95,6.2,0.65,5,healthy,6
grok4_fast_breakfast_19,grok4_fast,breakfast,Blintzes,Healthy Buckwheat Blintzes with Cottage Cheese and Berry Compote,"[""100 g Buckwheat flour"", ""200 ml Milk, semi-skimmed"", ""1 piece Egg, raw"", ""50 g Cottage cheese, low-fat"", ""50 g Ricotta cheese, low-fat"", ""1 tsp Honey"", ""100 g Mixed berries, frozen"", ""1 tsp Lemon juice"", ""20 g Butter, unsalted"", ""50 ml Water""]","In a medium bowl, whisk together the buckwheat flour, semi-skimmed milk, and egg until smooth to create a thin batter. Let it rest for 15 minutes. For the filling, mix the low-fat cottage cheese, low-fat ricotta cheese, and honey in a small bowl until creamy and set aside. In a small saucepan, combine the mixed berries, water, and lemon juice. Bring to a simmer over medium heat and cook for 5-7 minutes, stirring occasionally, until the berries break down into a thick compote. Remove from heat and let cool slightly. Heat a non-stick frying pan over medium heat and lightly grease with a tiny dab of butter using a paper towel. Pour about 50 ml of batter into the pan, swirling to form a thin 20 cm crepe. Cook for 1-2 minutes until the edges lift and the bottom is golden. Flip and cook for another 30 seconds. Transfer to a plate and repeat with remaining batter, greasing the pan lightly between each. Place 1-2 tablespoons of cheese filling in the center of each blintz, fold the sides in, then roll up tightly like a cigar. Melt the remaining butter in the pan over low heat. Arrange the blintzes seam-side down and cook for 2 minutes per side until golden and warmed through. Serve immediately topped with the berry compote.",4,1250,52,48,142,24,42,12,1.8,650,4.5,220,750,1400,4.8,45,55,450,2.5,3.2,25,180,2.8,0.6,1.2,6.5,0.7,6,healthy,5
grok4_fast_breakfast_20,grok4_fast,breakfast,Blintzes,Healthy Buckwheat Blintzes with Cottage Cheese and Spinach,"[""100 g Buckwheat flour"", ""200 ml Milk, skimmed"", ""1 piece Egg, raw"", ""50 g Spinach, raw"", ""150 g Cottage cheese, low-fat"", ""50 g Blueberries, raw"", ""10 g Honey"", ""5 g Olive oil"", ""1 g Salt"", ""2 g Baking powder""]","In a medium bowl, whisk together the buckwheat flour, skimmed milk, egg, salt, and baking powder until a smooth batter forms. Let the batter rest for 15 minutes at room temperature. Heat a non-stick frying pan over medium heat and lightly brush it with olive oil. Pour about 75 ml of batter into the pan, tilting it to spread evenly into a thin crepe. Cook for 1-2 minutes until the edges lift and the bottom is lightly golden, then flip and cook for another 30 seconds. Transfer to a plate and repeat with the remaining batter to make 4 blintzes. In a small bowl, mix the low-fat cottage cheese with chopped spinach and honey until well combined. Place a generous spoonful of the filling in the center of each blintze, fold the sides in and roll up tightly. Serve warm topped with fresh blueberries.",2,780,48,18,95,5,28,9,2.5,650,4.5,180,650,1100,4.2,25,45,450,1.5,2.5,15,120,1.8,0.5,0.9,6,0.4,5,healthy,6
grok4_fast_breakfast_21,grok4_fast,breakfast,Breakfast Burritos,Healthy Veggie Breakfast Burritos with Scrambled Eggs and Avocado,"[""4 pieces Tortilla, wheat flour, soft"", ""4 pieces Egg, raw"", ""100 g Black beans, cooked"", ""100 g Spinach, raw"", ""80 g Tomato, ripe, red"", ""60 g Avocado, raw"", ""100 g Red bell pepper, raw"", ""20 g Cheddar cheese, reduced fat"", ""5 g Olive oil"", ""2 g Salt"", ""1 g Black pepper, ground"", ""5 g Lime juice""]","Heat 5 g olive oil in a non-stick frying pan over medium heat. Chop the red bell pepper and tomato into small dice, and roughly chop the spinach. Add the diced bell pepper and tomato to the pan, sauté for 3 minutes until softened. Crack the 4 eggs into a bowl, whisk with 1 g salt and 1 g black pepper, then pour into the pan with the vegetables. Add the black beans and spinach, stirring gently for 2-3 minutes until the eggs are just set and fluffy, avoiding overcooking. Remove from heat. Warm the tortillas in a dry pan or microwave for 20 seconds. Divide the egg mixture evenly among the 4 tortillas, top each with 15 g sliced avocado, 5 g grated cheddar cheese, and a squeeze of lime juice. Roll up tightly into burritos, folding in the sides first then rolling from the bottom. Serve immediately.",4,1050,48,42,112,12,8,20,3.2,450,8.5,180,650,1600,5.2,120,55,800,4,6,120,320,2.8,0.6,1.2,4.5,0.8,6,healthy,5
